date,home_team,away_team,result,season,result_code
2017-09-06,Le Quang Liem,Vidit,A,2017,-1
2017-09-06,Matlakov,Andreikin,D,2017,0
2017-09-06,Yu Yangyi,Jobava,D,2017,0
2017-09-06,Bacrot,Bu Xiangzhi,D,2017,0
2017-09-06,Tomashevsky,Vallejo Pons,D,2017,0
2017-09-07,Gelfand,Wang Hao,D,2017,0
2017-09-07,Vidit,Le Quang Liem,D,2017,0
2017-09-07,Jobava,Yu Yangyi,D,2017,0
2017-09-07,Vallejo Pons,Tomashevsky,H,2017,1
2017-09-07,Bu Xiangzhi,Bacrot,D,2017,0
2017-09-07,Andreikin,Matlakov,D,2017,0
2017-09-08,Andreikin,Matlakov,D,2017,0
2017-09-08,Andreikin,Matlakov,A,2017,-1
2017-09-09,Nepomniachtchi,Jobava,D,2017,0
2017-09-09,Nakamura,Fedoseev,D,2017,0
2017-09-09,Carlsen,Bu Xiangzhi,A,2017,-1
2017-09-09,Vallejo Pons,So,A,2017,-1
2017-09-09,Ding Liren,Vidit,D,2017,0
2017-09-09,Grischuk,Navara,D,2017,0
2017-09-09,Ivanchuk,Kramnik,D,2017,0
2017-09-09,Aronian,Matlakov,H,2017,1
2017-09-10,Jobava,Nepomniachtchi,D,2017,0
2017-09-10,Matlakov,Aronian,H,2017,1
2017-09-10,So,Vallejo Pons,D,2017,0
2017-09-10,Fedoseev,Nakamura,H,2017,1
2017-09-10,Bu Xiangzhi,Carlsen,D,2017,0
2017-09-10,Vidit,Ding Liren,D,2017,0
2017-09-10,Kramnik,Ivanchuk,A,2017,-1
2017-09-10,Navara,Grischuk,D,2017,0
2017-09-12,MVL,Grischuk,D,2017,0
2017-09-12,Ivanchuk,Giri,H,2017,1
2017-09-12,Svidler,Bu Xiangzhi,D,2017,0
2017-09-12,Wang Hao,Ding Liren,D,2017,0
2017-09-12,So,Jobava,D,2017,0
2017-09-13,Bu Xiangzhi,Svidler,D,2017,0
2017-09-13,Grischuk,MVL,D,2017,0
2017-09-13,Jobava,So,D,2017,0
2017-09-13,Ding Liren,Wang Hao,H,2017,1
